trade_id,timestamp,symbol,action,side,quantity,price,total_value,strategy,mode,primary_signal,signal_value,threshold,direction,trend,explanation,realized_pnl
BT-20251201091030-0011,2025-11-18T05:00:00+00:00,SPY,BUY,long,137.4574,660.08,90732.88,mean_reversion_strategy,backtest,bollinger_lower_band,660.0800,661.4041,below,,BUY: Price $660.08 touched lower Bollinger Band $661.40. Z-score: -2.17 (oversold). Expecting mean r,
BT-20251201091030-0012,2025-11-25T05:00:00+00:00,SPY,SELL,long,137.4574,675.02,92786.49,mean_reversion_strategy,backtest,bollinger_mean_reversion,675.0200,673.1100,above,,SELL: Price $675.02 reverted to SMA $673.11. Mean reversion target reached. Z-score: 0.20.,2008.25
BT-20251201091030-0013,2025-02-13T05:00:00+00:00,SPY,BUY,long,147.6063,609.73,90000.00,trend_following_strategy,backtest,uptrend_state,0.7124,0.5000,above,,BUY: Uptrend confirmed. 20-day SMA ($603.15) is above 50-day SMA ($598.89) by 0.71%.,
BT-20251201091030-0014,2025-03-07T05:00:00+00:00,SPY,SELL,long,147.6063,575.92,85009.43,trend_following_strategy,backtest,ma_crossover_bearish,-0.0122,,below,,SELL: Death Cross detected. 20-day SMA ($596.30) is below 50-day SMA ($596.37) by 0.01%.,-5035.57
BT-20251201091030-0015,2025-05-15T04:00:00+00:00,SPY,BUY,long,144.4167,590.46,85272.26,trend_following_strategy,backtest,uptrend_state,0.6423,0.5000,above,,BUY: Uptrend confirmed. 20-day SMA ($557.30) is above 50-day SMA ($553.74) by 0.64%.,
BT-20251201091030-0016,2025-11-28T05:00:00+00:00,SPY,SELL,long,144.4167,683.39,98692.90,trend_following_strategy,backtest,backtest_end,,,n/a,,Position closed at end of backtest period.,13378.00
BT-20251201091030-0017,2025-01-22T05:00:00+00:00,SPY,BUY,long,148.4071,606.44,90000.00,breakout_strategy,backtest,channel_breakout_up,606.4400,603.0600,above,,BUY: Price $606.44 broke above 20-day resistance $603.06. Breakout strength: 0.56%. Channel width: 4,
BT-20251201091030-0018,2025-02-27T05:00:00+00:00,SPY,SELL,long,148.4071,585.05,86825.57,breakout_strategy,backtest,channel_breakdown,585.0500,589.5600,below,,SELL: Price $585.05 broke below 20-day support $589.56. Breakdown strength: 0.76%. Exiting to preven,-3219.43
BT-20251201091030-0019,2025-05-02T04:00:00+00:00,SPY,BUY,long,153.3353,566.76,86904.34,breakout_strategy,backtest,channel_breakout_up,566.7600,564.0699,above,,BUY: Price $566.76 broke above 20-day resistance $564.07. Breakout strength: 0.48%. Channel width: 1,
BT-20251201091030-0020,2025-10-10T04:00:00+00:00,SPY,SELL,long,153.3353,653.02,100131.05,breakout_strategy,backtest,channel_breakdown,653.0200,654.3000,below,,SELL: Price $653.02 broke below 20-day support $654.30. Breakdown strength: 0.20%. Exiting to preven,13183.25
BT-20251201091030-0021,2025-10-24T04:00:00+00:00,SPY,BUY,long,145.5237,677.25,98555.92,breakout_strategy,backtest,channel_breakout_up,677.2500,673.9500,above,,BUY: Price $677.25 broke above 20-day resistance $673.95. Breakout strength: 0.49%. Channel width: 3,
BT-20251201091030-0022,2025-11-18T05:00:00+00:00,SPY,SELL,long,145.5237,660.08,96057.28,breakout_strategy,backtest,channel_breakdown,660.0800,661.2050,below,,SELL: Price $660.08 broke below 20-day support $661.21. Breakdown strength: 0.17%. Exiting to preven,-2547.92
BT-20251201091030-0023,2025-03-10T04:00:00+00:00,SPY,BUY,long,160.5480,560.58,90000.00,rsi_strategy,backtest,rsi_oversold,29.9669,30.0000,below,,"BUY: RSI(14) = 30.0 is below oversold threshold (30). Asset is oversold, expecting bounce. Previous ",
BT-20251201091030-0024,2025-06-30T04:00:00+00:00,SPY,SELL,long,160.5480,617.85,99194.58,rsi_strategy,backtest,rsi_overbought,70.2860,70.0000,above,,"SELL: RSI(14) = 70.3 is above overbought threshold (70). Asset is overbought, expecting pullback. Ta",9149.58
BT-20251201091030-0025,2025-03-21T04:00:00+00:00,SPY,BUY,long,159.5801,563.98,90000.00,macd_strategy,backtest,macd_bullish_crossover,-9.2229,-9.3987,above,,BUY: MACD bullish crossover. MACD (-9.2229) crossed above Signal line (-9.3987). Histogram: 0.1758. ,
BT-20251201091030-0026,2025-04-03T04:00:00+00:00,SPY,SELL,long,159.5801,536.70,85646.65,macd_strategy,backtest,macd_bearish_crossover,-8.0335,-7.2643,below,,SELL: MACD bearish crossover. MACD (-8.0335) crossed below Signal line (-7.2643). Histogram: -0.7692,-4398.35
BT-20251201091030-0027,2025-04-15T04:00:00+00:00,SPY,BUY,long,159.6788,537.61,85844.90,macd_strategy,backtest,macd_bullish_crossover,-12.1221,-12.8483,above,,BUY: MACD bullish crossover. MACD (-12.1221) crossed above Signal line (-12.8483). Histogram: 0.7262,
BT-20251201091030-0028,2025-04-21T04:00:00+00:00,SPY,SELL,long,159.6788,513.88,82055.73,macd_strategy,backtest,macd_bearish_crossover,-12.6358,-12.5655,below,,SELL: MACD bearish crossover. MACD (-12.6358) crossed below Signal line (-12.5655). Histogram: -0.07,-3832.10
BT-20251201091030-0029,2025-04-22T04:00:00+00:00,SPY,BUY,long,155.9185,527.25,82208.02,macd_strategy,backtest,macd_bullish_crossover,-11.9810,-12.4486,above,,BUY: MACD bullish crossover. MACD (-11.9810) crossed above Signal line (-12.4486). Histogram: 0.4676,
BT-20251201091030-0030,2025-05-28T04:00:00+00:00,SPY,SELL,long,155.9185,587.73,91637.97,macd_strategy,backtest,macd_bearish_crossover,9.6318,9.6395,below,,SELL: MACD bearish crossover. MACD (9.6318) crossed below Signal line (9.6395). Histogram: -0.0077. ,9388.85
BT-20251201091031-0031,2025-06-10T04:00:00+00:00,SPY,BUY,long,149.9972,603.08,90460.32,macd_strategy,backtest,macd_bullish_crossover,9.1348,9.1320,above,,BUY: MACD bullish crossover. MACD (9.1348) crossed above Signal line (9.1320). Histogram: 0.0028. Mo,
BT-20251201091031-0032,2025-06-11T04:00:00+00:00,SPY,SELL,long,149.9972,601.36,90202.32,macd_strategy,backtest,macd_bearish_crossover,9.0404,9.1137,below,,SELL: MACD bearish crossover. MACD (9.0404) crossed below Signal line (9.1137). Histogram: -0.0732. ,-303.23
BT-20251201091031-0033,2025-06-27T04:00:00+00:00,SPY,BUY,long,146.3373,614.91,89984.27,macd_strategy,backtest,macd_bullish_crossover,7.5255,7.2109,above,,BUY: MACD bullish crossover. MACD (7.5255) crossed above Signal line (7.2109). Histogram: 0.3146. Mo,
BT-20251201091031-0034,2025-07-15T04:00:00+00:00,SPY,SELL,long,146.3373,622.14,91042.29,macd_strategy,backtest,macd_bearish_crossover,8.5406,8.8384,below,,SELL: MACD bearish crossover. MACD (8.5406) crossed below Signal line (8.8384). Histogram: -0.2978. ,1013.03
BT-20251201091031-0035,2025-07-25T04:00:00+00:00,SPY,BUY,long,142.3515,637.10,90692.14,macd_strategy,backtest,macd_bullish_crossover,8.3096,8.2386,above,,BUY: MACD bullish crossover. MACD (8.3096) crossed above Signal line (8.2386). Histogram: 0.0710. Mo,
BT-20251201091031-0036,2025-07-29T04:00:00+00:00,SPY,SELL,long,142.3515,635.26,90430.21,macd_strategy,backtest,macd_bearish_crossover,8.1529,8.2393,below,,SELL: MACD bearish crossover. MACD (8.1529) crossed below Signal line (8.2393). Histogram: -0.0864. ,-307.27
BT-20251201091031-0037,2025-08-13T04:00:00+00:00,SPY,BUY,long,139.8873,644.89,90211.93,macd_strategy,backtest,macd_bullish_crossover,5.8281,5.6297,above,,BUY: MACD bullish crossover. MACD (5.8281) crossed above Signal line (5.6297). Histogram: 0.1983. Mo,
BT-20251201091031-0038,2025-08-19T04:00:00+00:00,SPY,SELL,long,139.8873,639.81,89501.31,macd_strategy,backtest,macd_bearish_crossover,5.7902,5.8741,below,,SELL: MACD bearish crossover. MACD (5.7902) crossed below Signal line (5.8741). Histogram: -0.0839. ,-755.73
BT-20251201091031-0039,2025-08-28T04:00:00+00:00,SPY,BUY,long,137.6592,648.92,89329.80,macd_strategy,backtest,macd_bullish_crossover,5.1452,5.1288,above,,BUY: MACD bullish crossover. MACD (5.1452) crossed above Signal line (5.1288). Histogram: 0.0164. Mo,
BT-20251201091031-0040,2025-08-29T04:00:00+00:00,SPY,SELL,long,137.6592,645.05,88797.05,macd_strategy,backtest,macd_bearish_crossover,4.9494,5.0929,below,,SELL: MACD bearish crossover. MACD (4.9494) crossed below Signal line (5.0929). Histogram: -0.1436. ,-577.41
BT-20251201091031-0041,2025-09-10T04:00:00+00:00,SPY,BUY,long,135.8610,652.21,88609.90,macd_strategy,backtest,macd_bullish_crossover,4.6035,4.5393,above,,BUY: MACD bullish crossover. MACD (4.6035) crossed above Signal line (4.5393). Histogram: 0.0642. Mo,
BT-20251201091031-0042,2025-09-25T04:00:00+00:00,SPY,SELL,long,135.8610,658.05,89403.33,macd_strategy,backtest,macd_bearish_crossover,5.9677,6.2300,below,,SELL: MACD bearish crossover. MACD (5.9677) crossed below Signal line (6.2300). Histogram: -0.2623. ,749.12
BT-20251201091031-0043,2025-10-02T04:00:00+00:00,SPY,BUY,long,133.1157,669.22,89083.71,macd_strategy,backtest,macd_bullish_crossover,6.0209,5.9728,above,,BUY: MACD bullish crossover. MACD (6.0209) crossed above Signal line (5.9728). Histogram: 0.0481. Mo,
BT-20251201091031-0044,2025-10-09T04:00:00+00:00,SPY,SELL,long,133.1157,671.16,89341.95,macd_strategy,backtest,macd_bearish_crossover,6.0413,6.0552,below,,SELL: MACD bearish crossover. MACD (6.0413) crossed below Signal line (6.0552). Histogram: -0.0139. ,213.70
BT-20251201091031-0045,2025-10-24T04:00:00+00:00,SPY,BUY,long,131.5250,677.25,89075.29,macd_strategy,backtest,macd_bullish_crossover,3.7878,3.4822,above,,BUY: MACD bullish crossover. MACD (3.7878) crossed above Signal line (3.4822). Histogram: 0.3056. Mo,
BT-20251201091031-0046,2025-11-05T05:00:00+00:00,SPY,SELL,long,131.5250,677.58,89118.69,macd_strategy,backtest,macd_bearish_crossover,5.1116,5.3590,below,,SELL: MACD bearish crossover. MACD (5.1116) crossed below Signal line (5.3590). Histogram: -0.2475. ,-1.13
BT-20251201091031-0047,2025-11-28T05:00:00+00:00,SPY,BUY,long,130.0485,683.39,88873.83,macd_strategy,backtest,macd_bullish_crossover,0.5974,-0.2189,above,,BUY: MACD bullish crossover. MACD (0.5974) crossed above Signal line (-0.2189). Histogram: 0.8163. M,
BT-20251201091031-0048,2025-11-28T05:00:00+00:00,SPY,SELL,long,130.0485,683.39,88873.83,macd_strategy,backtest,backtest_end,,,n/a,,Position closed at end of backtest period.,-44.44
BT-20251201091031-0049,2025-02-27T05:00:00+00:00,SPY,BUY,long,153.8330,585.05,90000.00,pairs_trading_strategy,backtest,z_score_oversold,-2.5984,-2.0000,below,,BUY: Z-score (-2.60) below -2.0 threshold. Price $585.05 is 2.6 std devs below 20-day mean $602.82. ,
BT-20251201091031-0050,2025-03-24T04:00:00+00:00,SPY,SELL,long,153.8330,574.08,88312.45,pairs_trading_strategy,backtest,z_score_mean_reversion,0.1243,0.5000,near_zero,,SELL: Z-score (0.12) reverted within ±0.5 of mean. Mean reversion target achieved. Taking profits.,-1732.55
BT-20251201091031-0051,2025-04-03T04:00:00+00:00,SPY,BUY,long,164.4131,536.70,88240.52,pairs_trading_strategy,backtest,z_score_oversold,-2.9116,-2.0000,below,,BUY: Z-score (-2.91) below -2.0 threshold. Price $536.70 is 2.9 std devs below 20-day mean $562.64. ,
BT-20251201091031-0052,2025-04-09T04:00:00+00:00,SPY,SELL,long,164.4131,548.62,90200.33,pairs_trading_strategy,backtest,z_score_mean_reversion,-0.1775,0.5000,near_zero,,SELL: Z-score (-0.18) reverted within ±0.5 of mean. Mean reversion target achieved. Taking profits.,1915.68
BT-20251201091031-0053,2025-10-10T04:00:00+00:00,SPY,BUY,long,137.4590,653.02,89763.49,pairs_trading_strategy,backtest,z_score_oversold,-2.2116,-2.0000,below,,BUY: Z-score (-2.21) below -2.0 threshold. Price $653.02 is 2.2 std devs below 20-day mean $664.59. ,
BT-20251201091031-0054,2025-10-13T04:00:00+00:00,SPY,SELL,long,137.4590,663.04,91140.83,pairs_trading_strategy,backtest,z_score_mean_reversion,-0.3204,0.5000,near_zero,,SELL: Z-score (-0.32) reverted within ±0.5 of mean. Mean reversion target achieved. Taking profits.,1332.46
BT-20251201091031-0055,2025-11-18T05:00:00+00:00,SPY,BUY,long,137.4968,660.08,90758.92,pairs_trading_strategy,backtest,z_score_oversold,-2.1735,-2.0000,below,,BUY: Z-score (-2.17) below -2.0 threshold. Price $660.08 is 2.2 std devs below 20-day mean $676.67. ,
BT-20251201091031-0056,2025-11-24T05:00:00+00:00,SPY,SELL,long,137.4968,668.73,91948.27,pairs_trading_strategy,backtest,z_score_mean_reversion,-0.4970,0.5000,near_zero,,SELL: Z-score (-0.50) reverted within ±0.5 of mean. Mean reversion target achieved. Taking profits.,1143.97
BT-20251201091031-0057,2025-02-13T05:00:00+00:00,SPY,BUY,long,16.4007,609.73,10000.00,ai_prediction_strategy,backtest,ai_prediction_bullish,75.0000,70.0000,above,,BUY: AI prediction confidence 75.0% (threshold: 70%). Signals: Strong momentum: 3.1%; MACD positive;,
BT-20251201091032-0058,2025-11-28T05:00:00+00:00,SPY,SELL,long,16.4007,683.39,11208.08,ai_prediction_strategy,backtest,backtest_end,,,n/a,,Position closed at end of backtest period.,1203.08
BT-20251201102651-0001,2025-01-17T00:00:00-05:00,SPY,BUY,long,151.9271,592.39,90000.00,momentum_strategy,backtest,momentum,0.0227,0.0200,above,,BUY: 20-day momentum (2.27%) exceeded threshold (2.00%). Price rose from $579.24 to $592.39.,
BT-20251201102651-0002,2025-02-27T00:00:00-05:00,SPY,SELL,long,151.9271,579.97,88112.88,momentum_strategy,backtest,momentum,-0.0330,-0.0200,below,,SELL: 20-day momentum (-3.30%) fell below threshold (-2.00%). Price dropped from $599.78 to $579.97.,-1932.12
BT-20251201102651-0003,2025-05-01T00:00:00-04:00,SPY,BUY,long,158.5875,555.28,88061.18,momentum_strategy,backtest,momentum,0.0406,0.0200,above,,BUY: 20-day momentum (4.06%) exceeded threshold (2.00%). Price rose from $533.64 to $555.28.,
BT-20251201102651-0004,2025-11-20T00:00:00-05:00,SPY,SELL,long,158.5875,652.53,103483.13,momentum_strategy,backtest,momentum,-0.0365,-0.0200,below,,SELL: 20-day momentum (-3.65%) fell below threshold (-2.00%). Price dropped from $677.25 to $652.53.,15377.92
BT-20251201102651-0005,2025-02-27T00:00:00-05:00,SPY,BUY,long,155.1810,579.97,90000.00,mean_reversion_strategy,backtest,bollinger_lower_band,579.9681,584.0255,below,,BUY: Price $579.97 touched lower Bollinger Band $584.03. Z-score: -2.60 (oversold). Expecting mean r,
BT-20251201102651-0006,2025-03-24T00:00:00-04:00,SPY,SELL,long,155.1810,570.81,88578.12,mean_reversion_strategy,backtest,bollinger_mean_reversion,570.8054,567.6363,above,,SELL: Price $570.81 reverted to SMA $567.64. Mean reversion target reached. Z-score: 0.24.,-1466.88
BT-20251201102651-0007,2025-04-03T00:00:00-04:00,SPY,BUY,long,165.8037,533.64,88479.27,mean_reversion_strategy,backtest,bollinger_lower_band,533.6385,540.8039,below,,BUY: Price $533.64 touched lower Bollinger Band $540.80. Z-score: -2.81 (oversold). Expecting mean r,
BT-20251201102651-0008,2025-04-24T00:00:00-04:00,SPY,SELL,long,165.8037,543.57,90126.20,mean_reversion_strategy,backtest,bollinger_mean_reversion,543.5716,532.4275,above,,SELL: Price $543.57 reverted to SMA $532.43. Mean reversion target reached. Z-score: 0.55.,1602.70
BT-20251201102651-0009,2025-10-10T00:00:00-04:00,SPY,BUY,long,137.3931,653.02,89720.43,mean_reversion_strategy,backtest,bollinger_lower_band,653.0200,653.0879,below,,BUY: Price $653.02 touched lower Bollinger Band $653.09. Z-score: -2.01 (oversold). Expecting mean r,
BT-20251201102651-0010,2025-10-15T00:00:00-04:00,SPY,SELL,long,137.3931,665.17,91389.75,mean_reversion_strategy,backtest,bollinger_mean_reversion,665.1700,665.0174,above,,SELL: Price $665.17 reverted to SMA $665.02. Mean reversion target reached. Z-score: 0.03.,1624.46
BT-20251201102651-0011,2025-11-18T00:00:00-05:00,SPY,BUY,long,137.8293,660.08,90978.36,mean_reversion_strategy,backtest,bollinger_lower_band,660.0800,661.4041,below,,BUY: Price $660.08 touched lower Bollinger Band $661.40. Z-score: -2.17 (oversold). Expecting mean r,
BT-20251201102651-0012,2025-11-25T00:00:00-05:00,SPY,SELL,long,137.8293,675.02,93037.53,mean_reversion_strategy,backtest,bollinger_mean_reversion,675.0200,673.1100,above,,SELL: Price $675.02 reverted to SMA $673.11. Mean reversion target reached. Z-score: 0.20.,2013.68
BT-20251201102651-0013,2025-02-13T00:00:00-05:00,SPY,BUY,long,148.8997,604.43,90000.00,trend_following_strategy,backtest,uptrend_state,0.8077,0.5000,above,,BUY: Uptrend confirmed. 20-day SMA ($597.92) is above 50-day SMA ($593.13) by 0.81%.,
BT-20251201102651-0014,2025-03-07T00:00:00-05:00,SPY,SELL,long,148.8997,570.92,85009.42,trend_following_strategy,backtest,ma_crossover_bearish,-0.0122,,below,,SELL: Death Cross detected. 20-day SMA ($591.12) is below 50-day SMA ($591.19) by 0.01%.,-5035.58
BT-20251201102651-0015,2025-05-15T00:00:00-04:00,SPY,BUY,long,145.2452,587.09,85272.26,trend_following_strategy,backtest,uptrend_state,0.7099,0.5000,above,,BUY: Uptrend confirmed. 20-day SMA ($554.12) is above 50-day SMA ($550.21) by 0.71%.,
BT-20251201102651-0016,2025-11-28T00:00:00-05:00,SPY,SELL,long,145.2452,683.39,99259.09,trend_following_strategy,backtest,backtest_end,,,n/a,,Position closed at end of backtest period.,13944.20
BT-20251201102651-0017,2025-01-22T00:00:00-05:00,SPY,BUY,long,149.7075,601.17,90000.00,breakout_strategy,backtest,channel_breakout_up,601.1723,597.8216,above,,BUY: Price $601.17 broke above 20-day resistance $597.82. Breakout strength: 0.56%. Channel width: 4,
BT-20251201102651-0018,2025-02-27T00:00:00-05:00,SPY,SELL,long,149.7075,579.97,86825.57,breakout_strategy,backtest,channel_breakdown,579.9681,584.4389,below,,SELL: Price $579.97 broke below 20-day support $584.44. Breakdown strength: 0.76%. Exiting to preven,-3219.43
BT-20251201102651-0019,2025-05-02T00:00:00-04:00,SPY,BUY,long,154.2150,563.53,86904.34,breakout_strategy,backtest,channel_breakout_up,563.5271,560.8525,above,,BUY: Price $563.53 broke above 20-day resistance $560.85. Breakout strength: 0.48%. Channel width: 1,
BT-20251201102651-0020,2025-11-18T00:00:00-05:00,SPY,SELL,long,154.2150,660.08,101794.25,breakout_strategy,backtest,channel_breakdown,660.0800,661.2100,below,,SELL: Price $660.08 broke below 20-day support $661.21. Breakdown strength: 0.17%. Exiting to preven,14846.46
BT-20251201102651-0021,2025-03-11T00:00:00-04:00,SPY,BUY,long,163.3124,551.09,90000.00,rsi_strategy,backtest,rsi_oversold,28.2761,30.0000,below,,"BUY: RSI(14) = 28.3 is below oversold threshold (30). Asset is oversold, expecting bounce. Previous ",
BT-20251201102651-0022,2025-06-27T00:00:00-04:00,SPY,SELL,long,163.3124,613.21,100144.76,rsi_strategy,backtest,rsi_overbought,70.1658,70.0000,above,,"SELL: RSI(14) = 70.2 is above overbought threshold (70). Asset is overbought, expecting pullback. Ta",10099.76
BT-20251201102652-0023,2025-03-21T00:00:00-04:00,SPY,BUY,long,160.4956,560.76,90000.00,macd_strategy,backtest,macd_bullish_crossover,-8.9837,-9.2537,above,,BUY: MACD bullish crossover. MACD (-8.9837) crossed above Signal line (-9.2537). Histogram: 0.2699. ,
BT-20251201102652-0024,2025-04-03T00:00:00-04:00,SPY,SELL,long,160.4956,533.64,85646.65,macd_strategy,backtest,macd_bearish_crossover,-7.4962,-6.8019,below,,SELL: MACD bearish crossover. MACD (-7.4962) crossed below Signal line (-6.8019). Histogram: -0.6943,-4398.35
BT-20251201102652-0025,2025-04-15T00:00:00-04:00,SPY,BUY,long,160.5948,534.54,85844.90,macd_strategy,backtest,macd_bullish_crossover,-11.6990,-12.3716,above,,BUY: MACD bullish crossover. MACD (-11.6990) crossed above Signal line (-12.3716). Histogram: 0.6726,
BT-20251201102652-0026,2025-04-21T00:00:00-04:00,SPY,SELL,long,160.5948,510.95,82055.73,macd_strategy,backtest,macd_bearish_crossover,-12.2670,-12.1347,below,,SELL: MACD bearish crossover. MACD (-12.2670) crossed below Signal line (-12.1347). Histogram: -0.13,-3832.09
BT-20251201102652-0027,2025-04-22T00:00:00-04:00,SPY,BUY,long,156.8130,524.24,82208.02,macd_strategy,backtest,macd_bullish_crossover,-11.6339,-12.0345,above,,BUY: MACD bullish crossover. MACD (-11.6339) crossed above Signal line (-12.0345). Histogram: 0.4007,
BT-20251201102652-0028,2025-05-28T00:00:00-04:00,SPY,SELL,long,156.8130,584.38,91637.97,macd_strategy,backtest,macd_bearish_crossover,9.6232,9.6513,below,,SELL: MACD bearish crossover. MACD (9.6232) crossed below Signal line (9.6513). Histogram: -0.0281. ,9388.85
BT-20251201102652-0029,2025-06-26T00:00:00-04:00,SPY,BUY,long,148.2523,610.18,90460.32,macd_strategy,backtest,macd_bullish_crossover,7.4236,7.3368,above,,BUY: MACD bullish crossover. MACD (7.4236) crossed above Signal line (7.3368). Histogram: 0.0868. Mo,
BT-20251201102652-0030,2025-07-15T00:00:00-04:00,SPY,SELL,long,148.2523,620.42,91978.66,macd_strategy,backtest,macd_bearish_crossover,8.8874,9.2203,below,,SELL: MACD bearish crossover. MACD (8.8874) crossed below Signal line (9.2203). Histogram: -0.3329. ,1473.11
BT-20251201102652-0031,2025-07-25T00:00:00-04:00,SPY,BUY,long,144.1445,635.34,91580.58,macd_strategy,backtest,macd_bullish_crossover,8.5152,8.5073,above,,BUY: MACD bullish crossover. MACD (8.5152) crossed above Signal line (8.5073). Histogram: 0.0079. Mo,
BT-20251201102652-0032,2025-07-29T00:00:00-04:00,SPY,SELL,long,144.1445,633.50,91316.09,macd_strategy,backtest,macd_bearish_crossover,8.3302,8.4773,below,,SELL: MACD bearish crossover. MACD (8.3302) crossed below Signal line (8.4773). Histogram: -0.1471. ,-310.28
BT-20251201102652-0033,2025-08-13T00:00:00-04:00,SPY,BUY,long,141.6493,643.11,91095.67,macd_strategy,backtest,macd_bullish_crossover,5.9029,5.7419,above,,BUY: MACD bullish crossover. MACD (5.9029) crossed above Signal line (5.7419). Histogram: 0.1610. Mo,
BT-20251201102652-0034,2025-08-19T00:00:00-04:00,SPY,SELL,long,141.6493,638.04,90378.07,macd_strategy,backtest,macd_bearish_crossover,5.8416,5.9540,below,,SELL: MACD bearish crossover. MACD (5.8416) crossed below Signal line (5.9540). Histogram: -0.1123. ,-763.14
BT-20251201102652-0035,2025-09-10T00:00:00-04:00,SPY,BUY,long,138.6899,650.41,90204.88,macd_strategy,backtest,macd_bullish_crossover,4.6124,4.5583,above,,BUY: MACD bullish crossover. MACD (4.6124) crossed above Signal line (4.5583). Histogram: 0.0541. Mo,
BT-20251201102652-0036,2025-09-25T00:00:00-04:00,SPY,SELL,long,138.6899,658.05,91264.92,macd_strategy,backtest,macd_bearish_crossover,6.4119,6.4648,below,,SELL: MACD bearish crossover. MACD (6.4119) crossed below Signal line (6.4648). Histogram: -0.0529. ,1014.93
BT-20251201102652-0037,2025-10-01T00:00:00-04:00,SPY,BUY,long,136.0071,668.45,90913.97,macd_strategy,backtest,macd_bullish_crossover,6.3967,6.3488,above,,BUY: MACD bullish crossover. MACD (6.3967) crossed above Signal line (6.3488). Histogram: 0.0478. Mo,
BT-20251201102652-0038,2025-10-09T00:00:00-04:00,SPY,SELL,long,136.0071,671.16,91282.54,macd_strategy,backtest,macd_bearish_crossover,6.4632,6.4913,below,,SELL: MACD bearish crossover. MACD (6.4632) crossed below Signal line (6.4913). Histogram: -0.0281. ,323.12
BT-20251201102652-0039,2025-10-24T00:00:00-04:00,SPY,BUY,long,134.3666,677.25,90999.76,macd_strategy,backtest,macd_bullish_crossover,4.0086,3.7673,above,,BUY: MACD bullish crossover. MACD (4.0086) crossed above Signal line (3.7673). Histogram: 0.2413. Mo,
BT-20251201102652-0040,2025-11-05T00:00:00-05:00,SPY,SELL,long,134.3666,677.58,91044.11,macd_strategy,backtest,macd_bearish_crossover,5.2374,5.5325,below,,SELL: MACD bearish crossover. MACD (5.2374) crossed below Signal line (5.5325). Histogram: -0.2951. ,-1.16
BT-20251201102652-0041,2025-11-28T00:00:00-05:00,SPY,BUY,long,132.8582,683.39,90793.95,macd_strategy,backtest,macd_bullish_crossover,0.6355,-0.1638,above,,BUY: MACD bullish crossover. MACD (0.6355) crossed above Signal line (-0.1638). Histogram: 0.7993. M,
BT-20251201102652-0042,2025-11-28T00:00:00-05:00,SPY,SELL,long,132.8582,683.39,90793.95,macd_strategy,backtest,backtest_end,,,n/a,,Position closed at end of backtest period.,-45.40
